dataset,donor,date,session,trial,partner,recipient,payoff_condition,partner_present,hormone,right.left,response
1,404,05-02-2016,5,7,N,,Side bias,Partner absent,NA,R,1
1,404,05-02-2016,5,8,N,,Side bias,Partner absent,NA,R,1
1,404,05-02-2016,5,9,N,,Prosocial,Partner absent,NA,R,1
1,404,05-02-2016,5,10,N,,Altruistic,Partner absent,NA,,NA
1,404,05-02-2016,5,11,N,,Prosocial,Partner absent,NA,R,1
1,404,05-02-2016,5,12,N,,Altruistic,Partner absent,NA,,NA
1,404,05-02-2016,5,13,N,,Prosocial,Partner absent,NA,,NA
1,404,05-02-2016,5,14,N,,Prosocial,Partner absent,NA,,NA
1,404,05-02-2016,5,15,N,,Altruistic,Partner absent,NA,,NA
1,404,05-02-2016,5,16,N,,Altruistic,Partner absent,NA,,NA
1,404,05-05-2016,6,1,R,785,Pre-test,Partner present,NA,R,1
1,404,05-05-2016,6,2,R,785,Pre-test,Partner present,NA,L,0
1,404,05-05-2016,6,3,R,785,Pre-test,Partner present,NA,L,1
1,404,05-05-2016,6,4,R,785,Pre-test,Partner present,NA,L,1
1,404,05-05-2016,6,5,R,785,Side bias,Partner present,NA,L,0
1,404,05-05-2016,6,6,R,785,Side bias,Partner present,NA,L,0
1,404,05-05-2016,6,7,R,785,Side bias,Partner present,NA,L,0
1,404,05-05-2016,6,8,R,785,Side bias,Partner present,NA,L,0
1,404,05-05-2016,6,9,R,785,Prosocial,Partner present,NA,L,0
1,404,05-05-2016,6,10,R,785,Altruistic,Partner present,NA,L,0
1,404,05-05-2016,6,11,R,785,Prosocial,Partner present,NA,R,1
1,404,05-05-2016,6,12,R,785,Altruistic,Partner present,NA,,NA
1,404,05-05-2016,6,13,R,785,Prosocial,Partner present,NA,,NA
1,404,05-05-2016,6,14,R,785,Prosocial,Partner present,NA,,NA
1,404,05-05-2016,6,15,R,785,Altruistic,Partner present,NA,,NA
1,404,05-05-2016,6,16,R,785,Altruistic,Partner present,NA,,NA
1,404,05-09-2016,7,1,N,,Pre-test,Partner absent,NA,L,1
1,404,05-09-2016,7,2,N,,Pre-test,Partner absent,NA,R,1
1,404,05-09-2016,7,3,N,,Pre-test,Partner absent,NA,L,1
1,404,05-09-2016,7,4,N,,Pre-test,Partner absent,NA,R,1
1,404,05-09-2016,7,5,N,,Side bias,Partner absent,NA,L,0
1,404,05-09-2016,7,6,N,,Side bias,Partner absent,NA,L,0
1,404,05-09-2016,7,7,N,,Side bias,Partner absent,NA,L,0
1,404,05-09-2016,7,8,N,,Side bias,Partner absent,NA,L,0
1,404,05-09-2016,7,9,N,,Prosocial,Partner absent,NA,R,1
1,404,05-09-2016,7,10,N,,Altruistic,Partner absent,NA,L,0
1,404,05-09-2016,7,11,N,,Prosocial,Partner absent,NA,L,0
1,404,05-09-2016,7,12,N,,Altruistic,Partner absent,NA,L,0
1,404,05-09-2016,7,13,N,,Prosocial,Partner absent,NA,L,0
1,404,05-09-2016,7,14,N,,Prosocial,Partner absent,NA,L,0
1,404,05-09-2016,7,15,N,,Altruistic,Partner absent,NA,R,1
1,404,05-09-2016,7,16,N,,Altruistic,Partner absent,NA,L,0
1,404,5-11-2016,8,1,R,408,Pre-test,Partner present,NA,R,1
1,404,5-11-2016,8,2,R,408,Pre-test,Partner present,NA,L,1
1,404,5-11-2016,8,3,R,408,Pre-test,Partner present,NA,R,1
1,404,5-11-2016,8,4,R,408,Pre-test,Partner present,NA,L,1
1,404,5-11-2016,8,5,R,408,Side bias,Partner present,NA,L,0
1,404,5-11-2016,8,6,R,408,Side bias,Partner present,NA,L,0
1,404,5-11-2016,8,7,R,408,Side bias,Partner present,NA,L,0
1,404,5-11-2016,8,8,R,408,Side bias,Partner present,NA,L,0
1,404,5-11-2016,8,9,R,408,Prosocial,Partner present,NA,R,1
1,404,5-11-2016,8,10,R,408,Altruistic,Partner present,NA,L,0
1,404,5-11-2016,8,11,R,408,Prosocial,Partner present,NA,R,1
1,404,5-11-2016,8,12,R,408,Altruistic,Partner present,NA,L,0
1,404,5-11-2016,8,13,R,408,Prosocial,Partner present,NA,R,1
1,404,5-11-2016,8,14,R,408,Prosocial,Partner present,NA,L,0
1,404,5-11-2016,8,15,R,408,Altruistic,Partner present,NA,R,1
1,404,5-11-2016,8,16,R,408,Altruistic,Partner present,NA,L,0
1,404,5-13-2016,9,1,N,,Pre-test,Partner absent,NA,L,1
1,404,5-13-2016,9,2,N,,Pre-test,Partner absent,NA,L,1
1,404,5-13-2016,9,3,N,,Pre-test,Partner absent,NA,L,0
1,404,5-13-2016,9,4,N,,Pre-test,Partner absent,NA,R,1
1,404,5-13-2016,9,5,N,,Side bias,Partner absent,NA,L,1
1,404,5-13-2016,9,6,N,,Side bias,Partner absent,NA,R,1
1,404,5-13-2016,9,7,N,,Side bias,Partner absent,NA,L,1
1,404,5-13-2016,9,8,N,,Side bias,Partner absent,NA,L,1
1,404,5-13-2016,9,9,N,,Prosocial,Partner absent,NA,L,1
1,404,5-13-2016,9,10,N,,Altruistic,Partner absent,NA,R,1
1,404,5-13-2016,9,11,N,,Prosocial,Partner absent,NA,L,1
1,404,5-13-2016,9,12,N,,Altruistic,Partner absent,NA,,NA
1,404,5-13-2016,9,13,N,,Prosocial,Partner absent,NA,R,1
1,404,5-13-2016,9,14,N,,Prosocial,Partner absent,NA,L,1
1,404,5-13-2016,9,15,N,,Altruistic,Partner absent,NA,,NA
1,404,5-13-2016,9,16,N,,Altruistic,Partner absent,NA,,NA
1,404,05-26-2016,10,1,N,,Pre-test,Partner absent,NA,L,0
1,404,05-26-2016,10,2,N,,Pre-test,Partner absent,NA,L,1
1,404,05-26-2016,10,3,N,,Pre-test,Partner absent,NA,L,0
1,404,05-26-2016,10,4,N,,Pre-test,Partner absent,NA,L,1
1,404,05-26-2016,11,1,N,,Pre-test,Partner absent,NA,L,0
1,404,05-26-2016,11,2,N,,Pre-test,Partner absent,NA,L,1
1,404,05-26-2016,11,3,N,,Pre-test,Partner absent,NA,R,1
1,404,05-26-2016,11,4,N,,Pre-test,Partner absent,NA,L,1
1,404,05-26-2016,11,5,N,,Side bias,Partner absent,NA,L,0
1,404,05-26-2016,11,6,N,,Side bias,Partner absent,NA,L,0
1,404,05-26-2016,11,7,N,,Side bias,Partner absent,NA,L,0
1,404,05-26-2016,11,8,N,,Side bias,Partner absent,NA,L,0
1,404,05-26-2016,11,9,N,,Prosocial,Partner absent,NA,L,1
1,404,05-26-2016,11,10,N,,Altruistic,Partner absent,NA,L,1
1,404,05-26-2016,11,11,N,,Prosocial,Partner absent,NA,L,1
1,404,05-26-2016,11,12,N,,Altruistic,Partner absent,NA,L,1
1,404,05-26-2016,11,13,N,,Prosocial,Partner absent,NA,L,1
1,404,05-26-2016,11,14,N,,Prosocial,Partner absent,NA,L,1
1,404,05-26-2016,11,15,N,,Altruistic,Partner absent,NA,L,1
1,404,05-26-2016,11,16,N,,Altruistic,Partner absent,NA,L,1
1,404,06-07-2016,12,1,R,791,Pre-test,Partner present,NA,L,1
1,404,06-07-2016,12,2,R,791,Pre-test,Partner present,NA,L,1
1,404,06-07-2016,12,3,R,791,Pre-test,Partner present,NA,R,1
1,404,06-07-2016,12,4,R,791,Pre-test,Partner present,NA,R,1
1,404,06-07-2016,12,5,R,791,Side bias,Partner present,NA,L,0
1,404,06-07-2016,12,6,R,791,Side bias,Partner present,NA,R,1
1,404,06-07-2016,12,7,R,791,Side bias,Partner present,NA,R,1
1,404,06-07-2016,12,8,R,791,Side bias,Partner present,NA,L,0
1,404,06-07-2016,12,9,R,791,Prosocial,Partner present,NA,L,0
1,404,06-07-2016,12,10,R,791,Altruistic,Partner present,NA,L,0
1,404,06-07-2016,12,11,R,791,Prosocial,Partner present,NA,L,0
1,404,06-07-2016,12,12,R,791,Altruistic,Partner present,NA,R,1
1,404,06-07-2016,12,13,R,791,Prosocial,Partner present,NA,L,0
1,404,06-07-2016,12,14,R,791,Prosocial,Partner present,NA,L,0
1,404,06-07-2016,12,15,R,791,Altruistic,Partner present,NA,R,1
1,404,06-07-2016,12,16,R,791,Altruistic,Partner present,NA,L,0
1,404,06-08-2016,13,1,N,,Pre-test,Partner absent,NA,L,1
1,404,06-08-2016,13,2,N,,Pre-test,Partner absent,NA,R,1
1,404,06-08-2016,13,3,N,,Pre-test,Partner absent,NA,R,1
1,404,06-08-2016,13,4,N,,Pre-test,Partner absent,NA,R,1
1,404,06-08-2016,13,5,N,,Side bias,Partner absent,NA,R,1
1,404,06-08-2016,13,6,N,,Side bias,Partner absent,NA,L,0
1,404,06-08-2016,13,7,N,,Side bias,Partner absent,NA,L,0
1,404,06-08-2016,13,8,N,,Side bias,Partner absent,NA,L,0
1,404,06-08-2016,13,9,N,,Prosocial,Partner absent,NA,L,0
1,404,06-08-2016,13,10,N,,Altruistic,Partner absent,NA,L,0
1,404,06-08-2016,13,11,N,,Prosocial,Partner absent,NA,R,1
1,404,06-08-2016,13,12,N,,Altruistic,Partner absent,NA,R,1
1,404,06-08-2016,13,13,N,,Prosocial,Partner absent,NA,R,1
1,404,06-08-2016,13,14,N,,Prosocial,Partner absent,NA,R,1
1,404,06-08-2016,13,15,N,,Altruistic,Partner absent,NA,L,0
1,404,06-08-2016,13,16,N,,Altruistic,Partner absent,NA,L,0
1,404,06-09-2016,14,1,L,785,Pre-test,Partner present,NA,R,1
1,404,06-09-2016,14,2,L,785,Pre-test,Partner present,NA,R,1
1,404,06-09-2016,14,3,L,785,Pre-test,Partner present,NA,R,0
1,404,06-09-2016,14,4,L,785,Pre-test,Partner present,NA,R,0
1,404,06-09-2016,15,1,L,785,Pre-test,Partner present,NA,R,1
1,404,06-09-2016,15,2,L,785,Pre-test,Partner present,NA,R,1
1,404,06-09-2016,15,3,L,785,Pre-test,Partner present,NA,L,1
1,404,06-09-2016,15,4,L,785,Pre-test,Partner present,NA,R,0
1,404,06-09-2016,15,5,L,785,Side bias,Partner present,NA,R,1
1,404,06-09-2016,15,6,L,785,Side bias,Partner present,NA,L,0
1,404,06-09-2016,15,7,L,785,Side bias,Partner present,NA,R,1
1,404,06-09-2016,15,8,L,785,Side bias,Partner present,NA,R,1
1,404,06-09-2016,15,9,L,785,Prosocial,Partner present,NA,R,0
1,404,06-09-2016,15,10,L,785,Altruistic,Partner present,NA,,NA
1,404,06-09-2016,15,11,L,785,Prosocial,Partner present,NA,R,0
1,404,06-09-2016,15,12,L,785,Altruistic,Partner present,NA,,NA
1,404,06-09-2016,15,13,L,785,Prosocial,Partner present,NA,R,0
1,404,06-09-2016,15,14,L,785,Prosocial,Partner present,NA,R,0
1,404,06-09-2016,15,15,L,785,Altruistic,Partner present,NA,,NA
1,404,06-09-2016,15,16,L,785,Altruistic,Partner present,NA,,NA
1,404,06-10-2016,16,1,N,,Pre-test,Partner absent,NA,R,0
1,404,06-10-2016,16,2,N,,Pre-test,Partner absent,NA,R,1
1,404,06-10-2016,16,3,N,,Pre-test,Partner absent,NA,L,1
1,404,06-10-2016,16,4,N,,Pre-test,Partner absent,NA,R,1
1,404,06-10-2016,16,5,N,,Side bias,Partner absent,NA,R,1
1,404,06-10-2016,16,6,N,,Side bias,Partner absent,NA,R,1
1,404,06-10-2016,16,7,N,,Side bias,Partner absent,NA,L,0
1,404,06-10-2016,16,8,N,,Side bias,Partner absent,NA,L,0
1,404,06-10-2016,16,9,N,,Prosocial,Partner absent,NA,R,1
1,404,06-10-2016,16,10,N,,Altruistic,Partner absent,NA,,NA
1,404,06-10-2016,16,11,N,,Prosocial,Partner absent,NA,R,1
1,404,06-10-2016,16,12,N,,Altruistic,Partner absent,NA,,NA
1,404,06-10-2016,16,13,N,,Prosocial,Partner absent,NA,L,1
1,404,06-10-2016,16,14,N,,Prosocial,Partner absent,NA,R,1
1,404,06-10-2016,16,15,N,,Altruistic,Partner absent,NA,,NA
1,404,06-10-2016,16,16,N,,Altruistic,Partner absent,NA,,NA
1,404,06-13-2016,17,1,R,408,Pre-test,Partner present,NA,R,1
1,404,06-13-2016,17,2,R,408,Pre-test,Partner present,NA,R,0
1,404,06-13-2016,17,3,R,408,Pre-test,Partner present,NA,R,1
1,404,06-13-2016,17,4,R,408,Pre-test,Partner present,NA,R,0
1,404,06-13-2016,17,5,R,408,Pre-test,Partner present,NA,R,1
1,404,06-13-2016,17,6,R,408,Pre-test,Partner present,NA,L,1
1,404,06-13-2016,17,7,R,408,Pre-test,Partner present,NA,R,1
1,404,06-13-2016,17,8,R,408,Pre-test,Partner present,NA,L,1
1,404,06-13-2016,17,9,R,408,Side bias,Partner present,NA,R,1
1,404,06-13-2016,17,10,R,408,Side bias,Partner present,NA,R,1
1,404,06-13-2016,17,11,R,408,Side bias,Partner present,NA,R,1
1,404,06-13-2016,17,12,R,408,Side bias,Partner present,NA,R,1
1,404,06-13-2016,17,13,R,408,Prosocial,Partner present,NA,R,1
1,404,06-13-2016,17,14,R,408,Altruistic,Partner present,NA,L,0
1,404,06-13-2016,17,15,R,408,Prosocial,Partner present,NA,R,1
1,404,06-13-2016,17,16,R,408,Altruistic,Partner present,NA,L,0
1,404,06-13-2016,17,17,R,408,Prosocial,Partner present,NA,L,0
1,404,06-13-2016,17,18,R,408,Prosocial,Partner present,NA,R,1
1,404,06-13-2016,17,19,R,408,Altruistic,Partner present,NA,L,0
1,404,06-13-2016,17,20,R,408,Altruistic,Partner present,NA,L,0
1,404,06-15-2016,18,1,R,791,Pre-test,Partner present,NA,L,1
1,404,06-15-2016,18,2,R,791,Pre-test,Partner present,NA,R,0
1,404,06-15-2016,18,3,R,791,Pre-test,Partner present,NA,R,1
1,404,06-15-2016,18,4,R,791,Pre-test,Partner present,NA,R,1
1,404,06-15-2016,18,5,R,791,Side bias,Partner present,NA,L,0
1,404,06-15-2016,18,6,R,791,Side bias,Partner present,NA,L,0
1,404,06-15-2016,18,7,R,791,Side bias,Partner present,NA,L,0
1,404,06-15-2016,18,8,R,791,Side bias,Partner present,NA,R,1
1,404,06-15-2016,18,9,R,791,Prosocial,Partner present,NA,L,0
1,404,06-15-2016,18,10,R,791,Altruistic,Partner present,NA,L,0
1,404,06-15-2016,18,11,R,791,Prosocial,Partner present,NA,R,1
1,404,06-15-2016,18,12,R,791,Altruistic,Partner present,NA,R,1
1,404,06-15-2016,18,13,R,791,Prosocial,Partner present,NA,R,1
1,404,06-15-2016,18,14,R,791,Prosocial,Partner present,NA,R,1
1,404,06-15-2016,18,15,R,791,Altruistic,Partner present,NA,,NA
1,404,06-15-2016,18,16,R,791,Altruistic,Partner present,NA,L,0
1,404,06-16-2016,19,1,R,785,Pre-test,Partner present,NA,R,1
1,404,06-16-2016,19,2,R,785,Pre-test,Partner present,NA,L,1
1,404,06-16-2016,19,3,R,785,Pre-test,Partner present,NA,L,1
1,404,06-16-2016,19,4,R,785,Pre-test,Partner present,NA,R,1
1,404,06-16-2016,19,5,R,785,Side bias,Partner present,NA,L,0
1,404,06-16-2016,19,6,R,785,Side bias,Partner present,NA,R,1
1,404,06-16-2016,19,7,R,785,Side bias,Partner present,NA,R,1
1,404,06-16-2016,19,8,R,785,Side bias,Partner present,NA,R,1
1,404,06-16-2016,19,9,R,785,Prosocial,Partner present,NA,R,1
1,404,06-16-2016,19,10,R,785,Altruistic,Partner present,NA,,NA
1,404,06-16-2016,19,11,R,785,Prosocial,Partner present,NA,R,1
1,404,06-16-2016,19,12,R,785,Altruistic,Partner present,NA,,NA
1,404,06-16-2016,19,13,R,785,Prosocial,Partner present,NA,R,1
1,404,06-16-2016,19,14,R,785,Prosocial,Partner present,NA,R,1
1,404,06-16-2016,19,15,R,785,Altruistic,Partner present,NA,,NA
1,404,06-16-2016,19,16,R,785,Altruistic,Partner present,NA,,NA
1,404,06-17-2016,20,1,N,,Pre-test,Partner absent,NA,R,1
1,404,06-17-2016,20,2,N,,Pre-test,Partner absent,NA,R,0
1,404,06-17-2016,20,3,N,,Pre-test,Partner absent,NA,L,0
1,404,06-17-2016,20,4,N,,Pre-test,Partner absent,NA,L,0
1,404,06-17-2016,21,1,N,,Pre-test,Partner absent,NA,R,1
1,404,06-17-2016,21,2,N,,Pre-test,Partner absent,NA,R,0
1,404,06-17-2016,21,3,N,,Pre-test,Partner absent,NA,L,1
1,404,06-17-2016,21,4,N,,Pre-test,Partner absent,NA,R,1
1,404,06-17-2016,21,5,N,,Side bias,Partner absent,NA,L,0
1,404,06-17-2016,21,6,N,,Side bias,Partner absent,NA,R,1
1,404,06-17-2016,21,7,N,,Side bias,Partner absent,NA,R,1
1,404,06-17-2016,21,8,N,,Side bias,Partner absent,NA,R,1
1,404,06-17-2016,21,9,N,,Prosocial,Partner absent,NA,R,1
1,404,06-17-2016,21,10,N,,Altruistic,Partner absent,NA,,NA
1,404,06-17-2016,21,11,N,,Prosocial,Partner absent,NA,R,1
1,404,06-17-2016,21,12,N,,Altruistic,Partner absent,NA,,NA
1,404,06-17-2016,21,13,N,,Prosocial,Partner absent,NA,R,1
1,404,06-17-2016,21,14,N,,Prosocial,Partner absent,NA,R,1
1,404,06-17-2016,21,15,N,,Altruistic,Partner absent,NA,,NA
1,404,06-17-2016,21,16,N,,Altruistic,Partner absent,NA,,NA
1,404,06-20-2016,22,1,R,408,Pre-test,Partner present,NA,L,1
1,404,06-20-2016,22,2,R,408,Pre-test,Partner present,NA,R,1
1,404,06-20-2016,22,3,R,408,Pre-test,Partner present,NA,L,0
1,404,06-20-2016,22,4,R,408,Pre-test,Partner present,NA,L,1
1,404,06-20-2016,22,5,R,408,Side bias,Partner present,NA,R,1
1,404,06-20-2016,22,6,R,408,Side bias,Partner present,NA,L,0
1,404,06-20-2016,22,7,R,408,Side bias,Partner present,NA,R,1
1,404,06-20-2016,22,8,R,408,Side bias,Partner present,NA,L,0
1,404,06-20-2016,22,9,R,408,Prosocial,Partner present,NA,R,1
1,404,06-20-2016,22,10,R,408,Altruistic,Partner present,NA,,NA
1,404,06-20-2016,22,11,R,408,Prosocial,Partner present,NA,R,1
1,404,06-20-2016,22,12,R,408,Altruistic,Partner present,NA,,NA
1,404,06-20-2016,22,13,R,408,Prosocial,Partner present,NA,R,1
1,404,06-20-2016,22,14,R,408,Prosocial,Partner present,NA,R,1
1,404,06-20-2016,22,15,R,408,Altruistic,Partner present,NA,,NA
1,404,06-20-2016,22,16,R,408,Altruistic,Partner present,NA,R,1
1,404,06-24-2016,23,1,R,785,Pre-test,Partner present,NA,L,1
1,404,06-24-2016,23,2,R,785,Pre-test,Partner present,NA,R,1
1,404,06-24-2016,23,3,R,785,Pre-test,Partner present,NA,R,1
1,404,06-24-2016,23,4,R,785,Pre-test,Partner present,NA,L,1
1,404,06-24-2016,23,5,R,785,Side bias,Partner present,NA,R,1
1,404,06-24-2016,23,6,R,785,Side bias,Partner present,NA,R,1
1,404,06-24-2016,23,7,R,785,Side bias,Partner present,NA,R,1
1,404,06-24-2016,23,8,R,785,Side bias,Partner present,NA,R,1
1,404,06-24-2016,23,9,R,785,Prosocial,Partner present,NA,R,1
1,404,06-24-2016,23,10,R,785,Altruistic,Partner present,NA,,NA
1,404,06-24-2016,23,11,R,785,Prosocial,Partner present,NA,R,1
1,404,06-24-2016,23,12,R,785,Altruistic,Partner present,NA,,NA
1,404,06-24-2016,23,13,R,785,Prosocial,Partner present,NA,L,0
1,404,06-24-2016,23,14,R,785,Prosocial,Partner present,NA,L,0
1,404,06-24-2016,23,15,R,785,Altruistic,Partner present,NA,,NA
1,404,06-24-2016,23,16,R,785,Altruistic,Partner present,NA,,NA
1,404,06-27-2016,24,1,L,408,Pre-test,Partner present,NA,L,1
1,404,06-27-2016,24,2,L,408,Pre-test,Partner present,NA,R,1
1,404,06-27-2016,24,3,L,408,Pre-test,Partner present,NA,R,1
1,404,06-27-2016,24,4,L,408,Pre-test,Partner present,NA,L,1
1,404,06-27-2016,24,5,L,408,Side bias,Partner present,NA,R,1
1,404,06-27-2016,24,6,L,408,Side bias,Partner present,NA,R,1
1,404,06-27-2016,24,7,L,408,Side bias,Partner present,NA,L,0
1,404,06-27-2016,24,8,L,408,Side bias,Partner present,NA,R,1
1,404,06-27-2016,24,9,L,408,Prosocial,Partner present,NA,R,0
1,404,06-27-2016,24,10,L,408,Altruistic,Partner present,NA,R,0
1,404,06-27-2016,24,11,L,408,Prosocial,Partner present,NA,R,0
1,404,06-27-2016,24,12,L,408,Altruistic,Partner present,NA,L,1
1,404,06-27-2016,24,13,L,408,Prosocial,Partner present,NA,R,0
1,404,06-27-2016,24,14,L,408,Prosocial,Partner present,NA,R,0
1,404,06-27-2016,24,15,L,408,Altruistic,Partner present,NA,,NA
1,404,06-27-2016,24,16,L,408,Altruistic,Partner present,NA,R,0
1,404,06-28-2016,25,1,N,,Pre-test,Partner absent,NA,L,1
1,404,06-28-2016,25,2,N,,Pre-test,Partner absent,NA,R,1
1,404,06-28-2016,25,3,N,,Pre-test,Partner absent,NA,R,1
1,404,06-28-2016,25,4,N,,Pre-test,Partner absent,NA,L,0
1,404,06-28-2016,25,5,N,,Side bias,Partner absent,NA,R,1
1,404,06-28-2016,25,6,N,,Side bias,Partner absent,NA,L,0
1,404,06-28-2016,25,7,N,,Side bias,Partner absent,NA,R,1
1,404,06-28-2016,25,8,N,,Side bias,Partner absent,NA,R,1
1,404,06-28-2016,25,9,N,,Prosocial,Partner absent,NA,R,1
1,404,06-28-2016,25,10,N,,Altruistic,Partner absent,NA,,NA
1,404,06-28-2016,25,11,N,,Prosocial,Partner absent,NA,R,1
1,404,06-28-2016,25,12,N,,Altruistic,Partner absent,NA,,NA
1,404,06-28-2016,25,13,N,,Prosocial,Partner absent,NA,R,1
1,404,06-28-2016,25,14,N,,Prosocial,Partner absent,NA,R,1
1,404,06-28-2016,25,15,N,,Altruistic,Partner absent,NA,,NA
1,404,06-28-2016,25,16,N,,Altruistic,Partner absent,NA,,NA
1,404,06-29-2016,26,1,R,791,Pre-test,Partner present,NA,L,1
1,404,06-29-2016,26,2,R,791,Pre-test,Partner present,NA,L,1
1,404,06-29-2016,26,3,R,791,Pre-test,Partner present,NA,R,1
1,404,06-29-2016,26,4,R,791,Pre-test,Partner present,NA,R,1
1,404,06-29-2016,26,5,R,791,Side bias,Partner present,NA,R,1
1,404,06-29-2016,26,6,R,791,Side bias,Partner present,NA,R,1
1,404,06-29-2016,26,7,R,791,Side bias,Partner present,NA,R,1
1,404,06-29-2016,26,8,R,791,Side bias,Partner present,NA,R,1
1,404,06-29-2016,26,9,R,791,Prosocial,Partner present,NA,R,1
1,404,06-29-2016,26,10,R,791,Altruistic,Partner present,NA,R,1
